,,,,,,
,SpaceMount BOM,,,Total Estimated Cost:,$977.47,
,,,,,,
,,,,,,
,Item Name,Quantity,Cost,Use,Source,Notes
,M3 Heat Set Inserts Long (M3xL6xOD4),9,,Assembly,https://www.aliexpress.us/item/3256805885174058.html?,Excess from Polar Mount
,2004s1 Nema 17 Stepper Motor,2,$28,Drive Motors,https://www.aliexpress.us/item/3256806039037773.html?,Use Any with Decent Torque
,Guider Scope,,,,,
,IMX290 Sensor,1,$53.00,Guide Scope Sensor,https://shop.openastrotech.com/products/openastroguider-hardware-only?variant=39254160113851,
,182mm Focal Length 50mm Lens,1,$20.00,Guide Scope Optics,https://shop.openastrotech.com/products/openastroguider-hardware-only?variant=39254160081083,
,M5x20mm Socket Head Screw,1,,Assembly,https://www.aliexpress.us/item/3256802134660814.html?,Excess from Polar Mount
,M5 Hex Nut,1,,Assembly,https://www.aliexpress.us/item/3256811960981887.html,
,M5 Heat Set Inserts Long (M5xL6xOD7),4,,Assembly,https://www.aliexpress.us/item/3256805885174058.html?,Excess from Polar Mount
,M3x10mm Socket Head Bolt,4,,Assembly,https://www.aliexpress.us/item/3256802134660814.html,
,M2.5x10mm Socket Head Bolt,4,,Assembly,https://www.aliexpress.us/item/3256802134660814.html,
,54mm ID Carbon Fiber tube,1,,Structure,Your Choice,"Source from anywhere, must be 54mm ID. I am winding it myself. "
,Electronics,,,,,
,SKR Pico Mainboard,1,$30.00,Control,https://www.aliexpress.us/item/3256806852052563.html?,
,Raspberry Pi 4b,1,,Control,https://www.raspberrypi.com/products/raspberry-pi-4-model-b/,"Can substitute with many options including other Pis, mini PCs, a laptop, etc."
,Raspberry Pi Camera ,1,$6.00,Polar Alignment Camera,https://www.aliexpress.us/item/2251832482194239.html?,Can substitute with many other options.
,CSI to HDMI Converter Pair,1,$14.00,Connecting Polar Alignment Camera,https://www.amazon.com/Arducam-Extension-Module-Raspberry-Specific/dp/B06XDNBM63/,Optional but highly recommended as ribbon cable is very fragile.
,24v 3A Power Supply ,1,$11.00,Powering SKR Pico,https://www.aliexpress.us/item/3256807053145543.html?,"Can be substituted for a more standard power supply, or for a 12v power supply, with varying performance. "
,6015 Fan,1,$5.00,Cooling Electronic,https://www.aliexpress.us/item/3256808462626568.html?,I am using 5v and controlling it with the pi. You can also use 12/24 and control it off the Pico. 
,Misc.,,,,,
